                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.7567,                 1.9167,                 1.6841,                 1.7737,                 2.3325,                  1.601,                0.49729,                0.39217,                0.37405,                0.18442,                 1.8624,                 1.9635,                 1.8219,                 1.8674,                 2.3593,                 1.7433,               0.008185,               0.008185,               0.008185
                     58,                 1.7341,                 1.9022,                 1.6639,                 1.7775,                 2.3026,                 1.5882,                0.49162,                0.39635,                0.37433,                0.18119,                 1.8615,                 1.9877,                 1.8147,                 1.8912,                 2.3437,                 1.7457,               0.008152,               0.008152,               0.008152
                     59,                 1.7542,                 1.8942,                 1.6644,                 1.7955,                 2.3028,                 1.5903,                0.53027,                0.40332,                0.39172,                0.19858,                 1.8301,                 1.9484,                 1.8082,                 1.8497,                 2.2992,                 1.7344,               0.008119,               0.008119,               0.008119
                     60,                 1.7349,                 1.8793,                 1.6723,                 1.7804,                 2.2912,                 1.5894,                0.53852,                0.40913,                0.38233,                0.19068,                 1.8187,                 1.9452,                 1.8026,                 1.8651,                 2.3313,                 1.7399,               0.008086,               0.008086,               0.008086
                     61,                 1.7421,                  1.861,                 1.6662,                 1.7814,                 2.2531,                 1.5991,                0.55683,                0.40605,                0.40237,                    0.2,                 1.8197,                 1.8988,                 1.8001,                 1.8594,                 2.2678,                 1.7406,               0.008053,               0.008053,               0.008053
                     62,                 1.7549,                 1.8712,                 1.6626,                 1.8057,                 2.2689,                  1.595,                0.55368,                0.40471,                0.41092,                0.20907,                 1.8151,                 1.8788,                 1.7882,                 1.8421,                 2.2421,                 1.7193,                0.00802,                0.00802,                0.00802
                     63,                 1.7259,                 1.8373,                 1.6464,                 1.7692,                 2.2403,                 1.5785,                 0.5531,                0.43354,                0.41935,                0.21281,                 1.8089,                 1.8748,                 1.7897,                 1.8152,                 2.2372,                 1.7292,               0.007987,               0.007987,               0.007987
                     64,                 1.7079,                 1.8221,                 1.6443,                 1.7489,                 2.2147,                 1.5718,                0.58307,                0.40714,                0.41023,                0.20939,                 1.7944,                  1.877,                 1.7763,                 1.8281,                  2.242,                 1.7204,               0.007954,               0.007954,               0.007954
                     65,                 1.7045,                  1.814,                 1.6313,                 1.7551,                 2.2033,                 1.5602,                0.55579,                0.41091,                0.41084,                0.20272,                 1.8196,                 1.8957,                 1.7809,                 1.8636,                 2.2304,                  1.724,               0.007921,               0.007921,               0.007921
                     66,                 1.7023,                 1.8211,                 1.6339,                 1.7432,                 2.2122,                 1.5586,                0.53063,                0.40898,                 0.4057,                0.20869,                 1.8007,                 1.8672,                 1.7739,                 1.8197,                 2.2377,                 1.7114,               0.007888,               0.007888,               0.007888
